"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
13708676,"JH561769","12/31/2024 10:17:00 PM","055XX S KOLIN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",813,8,13,62,"08B",1148311,1867439,2024,"11/02/2025 03:41:09 PM",41.792191001,-87.731707102,"(41.792191001, -87.731707102)"
13707821,"JH561799","12/31/2024 10:09:00 PM","065XX W DIVERSEY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",2511,25,36,19,"08B",1132106,1917896,2024,"05/17/2025 03:40:52 PM",41.930948469,-87.789958559,"(41.930948469, -87.789958559)"
13707846,"JH561794","12/31/2024 10:08:00 PM","042XX W GLADYS AVE","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","APARTMENT","false","false",1132,11,28,26,"08B",1148268,1898019,2024,"05/17/2025 03:40:52 PM",41.87610751,-87.731078602,"(41.87610751, -87.731078602)"
13707815,"JH561808","12/31/2024 10:00:00 PM","108XX S EBERHART AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE - GARAGE","false","false",513,5,9,49,"05",1181502,1833171,2024,"05/17/2025 03:40:52 PM",41.697453918,-87.611056021,"(41.697453918, -87.611056021)"
13709015,"JJ101325","12/31/2024 10:00:00 PM","036XX W MONTROSE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",1723,17,33,14,"08B",1151514,1929003,2024,"11/02/2025 03:41:09 PM",41.96106725,-87.718344521,"(41.96106725, -87.718344521)"
13708145,"JJ100379","12/31/2024 10:00:00 PM","013XX N ARTESIAN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","ALLEY","false","false",1423,14,26,24,"07",1159831,1908825,2024,"11/02/2025 03:41:09 PM",41.905529618,-87.688324893,"(41.905529618, -87.688324893)"
13707816,"JH561767","12/31/2024 10:00:00 PM","028XX W IRVING PARK RD","0560","ASSAULT","SIMPLE","RESTAURANT","false","false",1733,17,35,16,"08A",1156880,1926456,2024,"05/17/2025 03:40:52 PM",41.953970755,-87.698685553,"(41.953970755, -87.698685553)"
13708029,"JJ100031","12/31/2024 09:55:00 PM","004XX N STATE ST","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","CONVENIENCE STORE","false","false",1834,18,42,8,"04B",1176292,1903428,2024,"05/17/2025 03:40:52 PM",41.89036442,-87.628021535,"(41.89036442, -87.628021535)"
13707798,"JH561745","12/31/2024 09:45:00 PM","008XX N MICHIGAN AVE","0810","THEFT","OVER $500","STREET","false","false",1833,18,2,8,"06",1177330,1906499,2024,"05/17/2025 03:40:52 PM",41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
13708417,"JJ100193","12/31/2024 09:45:00 PM","008XX E 65TH ST","0820","THEFT","$500 AND UNDER","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",312,3,20,42,"06",1183125,1862098,2024,"11/02/2025 03:41:09 PM",41.776795343,-87.604216245,"(41.776795343, -87.604216245)"
13708158,"JJ100368","12/31/2024 09:30:00 PM","052XX W HIRSCH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2532,25,37,25,"07",1141231,1908815,2024,"05/17/2025 03:40:52 PM",41.905865635,-87.756649934,"(41.905865635, -87.756649934)"
13707878,"JJ100066","12/31/2024 09:18:00 PM","061XX N HAMILTON AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true",2413,24,40,2,"08A",1160889,1940483,2024,"05/17/2025 03:40:52 PM",41.992379054,-87.683556873,"(41.992379054, -87.683556873)"
13709641,"JH561754","12/31/2024 09:15:00 PM","011XX W WINONA ST","0460","BATTERY","SIMPLE","APARTMENT","false","false",2033,20,48,3,"08B",1167707,1934285,2024,"11/02/2025 03:41:09 PM",41.975226889,-87.658657711,"(41.975226889, -87.658657711)"
